번호,정답
0050,⑤
0051,①③
0052,(ㄷ),(ㄹ)
0053,27
0054,②
0055,②
0056,③④
0057,②
0058,④
0059,①⑤
0060,②
0061,-1
0062,√6
0063,√30
0064,④
0065,√40 cm
0066,√35 cm
0067,√31 cm
0068,√41
0069,√3 cm
0070,√34 cm
0071,3
0072,⑤
0073,②⑤
0074,(ㄱ),(ㄷ)
0075,⑤
0076,⑤
0077,⑤
0078,④
0079,-7
0080,④
0081,13
0082,40
0083,5
0084,④
0085,⑤
0086,②
0087,④⑤
0088,⑤
0089,1
0090,①
0091,4a
0092,1/4 a²
0093,-5a-4b
0094,0
0095,⑤
0096,③
0097,-3
0098,2a-2c
0099,2a
0100,②
0101,12
0102,②
0103,③
0104,5
0105,33
0106,42
0107,90
0108,③
0109,(6,4),(24,2),(96,1)
0110,6
0111,④
0112,⑤
0113,68
0114,②
0115,③
0116,66
0117,47
0118,4
0119,③
0120,√(45/2)
0121,6
0122,③
0123,④
0124,③
0125,③
0126,③
0127,②
0128,15
0129,14
0130,③
0131,②
0132,30
0133,②
0134,③
0135,11
0136,②
0137,19
0138,⑤
0139,√45 cm
0140,3 cm
0141,√241 cm
0142,⑤
0143,(1)5 (2)-1 (3)-3
0144,0
0145,④
0146,10
0147,28
0148,④
0149,48
0150,3
0151,②
0152,②
0153,√10 cm
0154,2x+6
0155,x+5
0156,2
0157,36
0158,1-ab
0179,2
0180,③
0181,②④
0182,②
0183,84
0184,②③
0185,④
0186,④
0187,③④
0188,②⑤
0189,⑤
0190,①
0191,③
0192,11,592
0193,8,136
0194,③
0195,④
0196,점 C
0197,(1)√20 (2)-3 (3)-3+√20
0198,P(4-√18),Q(4+√18)
0199,③⑤
0200,②⑤
0201,지율, 은호
0202,3
0203,④
0204,①
0205,구간 F, 구간 B, 구간 C
0206,4
0207,57
0208,⑤
0209,
0210,4
0211,10
0212,②
0213,A:-3+√3, B:√6-1, C:√12, D:7-√5, -3+√3<√6-1<√12<7-√5
0214,A:-√10, B:-4+√6, C:√2-2, -√10<-4+√6<√2-2
0215,4-√5, -6+√8
0216,②
0217,6
0218,③
0219,⑤
0220,4044
0221,①⑤
0222,(ㄴ),(ㄷ)
0223,456
0224,-2-√5
0225,(1)-2-√3 (2)-2+√2 (3)-2+√2+√5
0226,3+√2
0227,11
0260,⑤
0261,④
0262,3
0263,3/2
0264,2
0265,⑤
0266,42
0267,④
0268,√3
0269,3/5
0270,81
0271,③
0272,④
0273,③
0274,30
0275,25
0276,②
0277,11
0278,③
0279,√0.24, √(6/49), √6/9
0280,④
0281,20
0282,⑤
0283,③⑤
0284,15
0285,560
0286,⑤
0287,0.04472
0288,②
0289,④
0290,④
0291,-10
0292,③
0293,③
0294,√6/6
0295,④
0296,3/5
